;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
InvalidChar=iuv
[Rule]
e2=p11+p12+p21+p22
e3=p11+p12+p21+p31
a4=p11+p21+p31+n11
[Data]
vv ？
vl ！
vs ……
vg 《
vh 》
dawt 的
d 的
ygz 一
y 一
gqgh 国
z 在
zukv 在
r 人
rgr 人
l 了
lgx 了
yu 有
yukd 有
zggj 中
s 是
sksz 是
ngq 年
haql 和
h 和
dgk 大
tgkv 大
ygsi 业
b 不
bgkf 不
wgiv 为
fgc 发
khrh 会
hhrh 会
gg 工
jev 经
sgaz 上
da 地
yhjc 要
g 个
ggrx 个
cgyi 产
v 这
zopy 这
cgxg 出
xae 行
haeh 行
zaf 作
sgq 生
jhok 家
ygvr 以
cgkb 成
c 成
dcms 到
rgs 日
mgzz 民
lglq 来
wgqa 我
w 我
bcyx 部
dav 对
joph 进
dhtt 多
qhrh 全
jovz 建
t 他
tafx 他
ghrv 公
kghw 开
mafu 们
m 们
cavc 场
zuz 展
sas 时
lhg 理
xcye 新
fgyc 方
zg 主
qhra 企
zlyg 资
shoo 实
xhox 学
bdux 报
zaqs 制
zczq 政
jcyw 济
ygth 用
twgl 同
yghx 于
fcvv 法
gyyl 高
cgqv 长
zgqv 长
xahg 现
bgjr 本
ygd 月
dkoz 定
haft 化
jac 加
dahc 动
gnrl 合
hnr 合
pjll 品
cgqg 重
zgqg 重
gkiz 关
jax 机
fh 分
lgc 力
zgwz 自
watf 外
zujs 者
ormr 区
qrmr 区
nvvt 能
swtv 设
huel 后
j 就
jcyk 就
dkq 等
tafj 体
xgjv 下
mgmc 万
wgmc 万
yght 元
sapv 社
gopj 过
qjid 前
mgkg 面
ngpt 农
ygxb 也
desj 得
ygmz 与
ywig 说
swi 说
zgpv 之
yhlg 员
e 而
egkg 而
whtc 务
laqs 利
dggh 电
wgyr 文
sg 事
k 可
kijl 可
zaq 种
caqg 种
znip 总
gazq 改
sghz 三
ghtl 各
hacx 好
jmrv 金
dhqz 第
sibz 司
qhj 其
jhjr 其
carr 从
zarr 从
pglq 平
dafm 代
dhf 当
thzk 天
sggr 水
shyg 市
dusj 提
tusj 提
smyg 商
sgj 十
gkqo 管
nggr 内
xgdv 小
jujv 技
wafy 位
mga 目
qovz 起
hcqb 海
saee 所
lgyi 立
ygzb 已
topv 通
rg 入
lmsg 量
zgxz 子
wwul 问
du 度
baat 北
bflx 保
xgpo 心
hopk 还
kaqo 科
whqc 委
dvj 都
sgjr 术
zgjr 术
svfz 使
masd 明
zuia 着
cayt 次
