xuhao	word	cx	cishu	cipin
      1	的	u	64100	   52.2343
      2	是	v	17795	   14.5009
      3	一	m	16473	   13.4236
      4	我	r	16252	   13.2435
      5	了	u	13818	   11.2601
      6	在	p	12395	   10.1005
      7	不	d	12133	    9.8870
      8	这	r	11162	    9.0958
      9	个	q	10498	    8.5547
     10	你	r	9553	    7.7846
     11	和	c	9385	    7.6477
     12	有	v	8556	    6.9722
     13	他	r	8506	    6.9314
     14	了	y	7327	    5.9707
     15	就	d	7236	    5.8965
     16	人	n	6763	    5.5111
     17	也	d	6137	    5.0010
     18	说	v	6053	    4.9325
     19	要	v	5369	    4.3751
     20	年	q	5179	    4.2203
     21	上	n	4927	    4.0149
     22	着	u	4902	    3.9946
     23	还	d	4216	    3.4356
     24	都	d	4134	    3.3687
     25	到	v	3824	    3.1161
     26	来	v	3784	    3.0835
     27	中	n	3756	    3.0607
     28	我们	r	3721	    3.0322
     29	地	u	3671	    2.9915
     30	大	a	3557	    2.8986
     31	对	p	3551	    2.8937
     32	她	r	3536	    2.8814
     33	那	r	3396	    2.7674
     34	把	p	3283	    2.6753
     35	好	a	3269	    2.6639
     36	去	v	3049	    2.4846
     37	看	v	3010	    2.4528
     38	里	n	3002	    2.4463
     39	发展	v	2927	    2.3852
     40	中国	n	2910	    2.3713
     41	经济	n	2872	    2.3404
     42	能	v	2841	    2.3151
     43	两	m	2831	    2.3069
     44	又	d	2812	    2.2915
     45	出	v	2599	    2.1179
     46	十	m	2451	    1.9973
     47	企业	n	2446	    1.9932
     48	什么	r	2419	    1.9712
     49	给	p	2350	    1.9150
     50	三	m	2348	    1.9134
     51	为	p	2333	    1.9011
     52	从	p	2284	    1.8612
     53	种	q	2246	    1.8302
     54	国	n	2186	    1.7813
     55	第	m	2183	    1.7789
     56	到	p	2139	    1.7430
     57	啦	y	2108	    1.7178
     58	新	a	2081	    1.6958
     59	工作	n	2001	    1.6306
     60	二	m	2000	    1.6298
     61	想	v	1958	    1.5955
     62	上	v	1949	    1.5882
     63	一	d	1943	    1.5833
     64	各	r	1927	    1.5703
     65	走	v	1921	    1.5654
     66	会	v	1878	    1.5304
     67	几	m	1872	    1.5255
     68	而	c	1868	    1.5222
     69	自己	r	1865	    1.5198
     70	他们	r	1864	    1.5189
     71	国家	n	1849	    1.5067
     72	多	a	1844	    1.5027
     73	社会	n	1830	    1.4912
     74	市场	n	1777	    1.4481
     75	很	d	1769	    1.4415
     76	得	u	1741	    1.4187
     77	呀	y	1740	    1.4179
     78	吧	y	1739	    1.4171
     79	万	m	1704	    1.3886
     80	次	q	1691	    1.3780
     81	月	q	1682	    1.3706
     82	您	r	1629	    1.3275
     83	问题	n	1618	    1.3185
     84	建设	v	1609	    1.3112
     85	为	v	1595	    1.2997
     86	等	u	1585	    1.2916
     87	以	p	1546	    1.2598
     88	后	n	1543	    1.2574
     89	的	y	1536	    1.2517
     90	让	v	1521	    1.2394
     91	呢	y	1504	    1.2256
     92	改革	v	1493	    1.2166
     93	吗	y	1489	    1.2134
     94	最	d	1444	    1.1767
     95	多	m	1438	    1.1718
     96	家	n	1437	    1.1710
     97	没	d	1424	    1.1604
     98	小	a	1416	    1.1539
     99	向	p	1416	    1.1539
    100	过	u	1402	    1.1425
    101	与	p	1399	    1.1400
    102	做	v	1370	    1.1164
    103	起	v	1370	    1.1164
    104	更	d	1368	    1.1148
    105	人民	n	1365	    1.1123
    106	怎么	r	1351	    1.1009
    107	已	d	1347	    1.0977
    108	但	c	1341	    1.0928
    109	位	q	1340	    1.0919
    110	技术	n	1332	    1.0854
    111	被	p	1323	    1.0781
    112	天	q	1314	    1.0708
    113	使	v	1303	    1.0618
    114	时	n	1294	    1.0545
    115	下	v	1263	    1.0292
    116	它	r	1227	    0.9999
    117	没有	v	1221	    0.9950
    118	事	n	1218	    0.9925
    119	吃	v	1198	    0.9762
    120	钱	n	1198	    0.9762
    121	下	n	1195	    0.9738
    122	再	d	1191	    0.9705
    123	之	u	1185	    0.9656
    124	四	m	1183	    0.9640
    125	得	v	1180	    0.9616
    126	可以	v	1159	    0.9445
    127	世界	n	1155	    0.9412
    128	公司	n	1135	    0.9249
    129	高	a	1129	    0.9200
    130	同志	n	1112	    0.9062
    131	条	q	1098	    0.8947
    132	打	v	1093	    0.8907
