ygz 一
ygb 乙
egh 二
sgj 十
dgj 丁
zgj 丁
cgk 厂
agk 厂
ygk 厂
hgk 厂
qgm 七
bgf 卜
bgr 八
rgr 人
rgr 入
ypcb 乂
egt 儿
jgt 九
bgt 匕
jgt 几
dgz 刁
lgx 了
ngc 乃
dgc 刀
lgc 力
ygv 又
mgb 乜
ngb 乜
sghz 三
gghx 干
cnzj 亍
yghx 于
kghb 亏
sgjz 士
tgjz 土
ggjz 工
cgjc 才
xgjv 下
cgjv 寸
zgkv 丈
dgkv 大
tgkv 大
wnzt 兀
ygmz 与
mgmc 万
wgmc 万
ygmv 弋
sgaz 上
xgdv 小
kggz 口
sggx 山
jggx 巾
qmcj 千
qgqb 乞
cgwx 川
yfwb 亿
cgex 彳
ggrx 个
ygtv 么
mgtv 么
jgtv 久
sgtv 勺
wgtv 丸
xgtv 夕
fgtv 凡
jgtv 及
ggyc 广
agyc 广
ygyc 广
wgyb 亡
mgub 门
ygix 丫
ygiv 义
zgpv 之
sgzc 尸
ygzb 已
sgzb 巳
ggzb 弓
jgzb 己
wgxz 卫
jgxz 孑
zgxz 子
jgxv 孓
ygxb 也
rgcz 女
ngcz 女
fgcv 飞
rgcv 刃
xgvz 习
cgvv 叉
mgbz 马
xgbc 乡
ygbv 幺
fghj 丰
wgha 王
jghw 井
kghw 开
qghw 亓
fghr 夫
tmzk 天
yght 元
wght 无
wghx 韦
yghv 云
zghv 专
ggjm 丐
zajb 扎
ngja 廿
yljb 艺
mgjr 木
wgjz 五
zljv 支
tukj 厅
sgks 卅
bgkf 不
fgkf 不
zukr 仄
tgko 太
qgko 犬
qrmr 区
ormr 区
lukc 历
yukv 友
dgkv 歹
ygkv 尤
prmt 匹
eukb 厄
jgmj 车
cgmj 车
jgmm 巨
ygmd 牙
tgmg 屯
zgmg 屯
ggmr 戈
bftt 比
hgmz 互
qfmc 切
wgmv 瓦
zgaa 止
shdc 少
yggh 曰
rggh 日
zggj 中
bggr 贝
nggr 内
sggr 水
gwgr 冈
jggt 见
xggt 见
sgqj 手
wgqj 午
ngqj 牛
mgqm 毛
qgqm 气
rgqa 壬
sgqw 升
ygqr 夭
cgqv 长
zgqv 长
rdwh 仁
dswj 仃
sfwj 什
sdwj 什
pgwm 片
pcwf 仆
zswt 仉
hcwt 化
qfwt 仇
cawt 仇
blcg 币
ldwc 仂
rdwc 仍
jswv 仅
jgej 斤
zgef 爪
fuev 反
xlrm 兮
yfrs 刈
jlrw 介
fgrr 父
yhrr 爻
cdrr 从
zdrr 从
lkrt 仑
jjrb 今
xexr 凶
fkrc 分
